n,obras,autor,fecha,medio,tecnica,material,alto,ancho,fuente,descripcion,periodo,region,pais,camino,id,modelo,repositorio,procedencia,atributoCarguero,accionCarguero,atributoCargado,numeroCargueros,direccionMiradaCarguero,direccionMiradaCargado,direccionCargado,generoCargado,figura/fondo,genero,soporte,otros,src
45,Carguero du Quindio et sa silleta,Edouard André,1879,Grabado,Grabado en madera,papel,NI,NI,"Tour du Monde, Nouveau Journal des Voyages 37, 1879",,1864 - 1902,Montañas andinas,Colombia,Quindío,1E8eAW69Xk28D2t6nEmePd0BqzTrlRI_S,andre,https://gallica.bnf.fr/ark:/12148/bpt6k34410z/f114.item,Francia,baston,caminando,NA,1,frente,NA,NA,NA,figura,tipos humanos,prensa,false,42.png
46,La montée de l'Agonie,"Edouard André, Maillart(dibj.)",1879,Grabado,Grabado en madera,papel,NI,NI,"Tour du Monde, Nouveau Journal des Voyages 38, 1879",,1864 - 1902,Amazonía,Colombia,Putumayo,1sFutgb-LeRAyeRY4su0w3RqeLf-Ziu9B,andre,https://gallica.bnf.fr/ark:/12148/bpt6k344119/f366.item,Francia,baston,ascendiendo,sombrero,1,abajo,frente,atras,masculino,figura,tipos humanos,prensa,false,43.png
47,Voyage a dos d’indie,C. P. Étienne,1887,Grabado,Grabado,papel,NI,NI,"Aperçu General sur la Colombie et recits de voyages en Amérique, (Geneve: Impr. M. Richter, 1887)",,1864 - 1902,Montañas andinas,Colombia,Quindío,10WQodDcgN_MQLmBSqW9SsK3NhwB-yM5_,roulin,https://archive.org/details/nouvellegrenade00tigoog/page/n52/mode/2up,Suiza,baston,caminando,sombrero,2,frente,frente,adelante,masculino,figura,tipos humanos,libro,false,44.jpg
48,"The reconstruction policy of Congress, as illustrated in California",Anónimo,1867,Grabado,Litografía,papel,36.8,27.2,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/p.print","Una sátira dirigida a la adhesión del candidato republicano a gobernador de California, George C. Gorham, a los derechos de voto de los negros y otras minorías. El hermano Jonathan (izquierda) advierte a Gorham: '¡Joven! Lee la historia de tu país y aprende que esta urna electoral se dedicó únicamente a la raza blanca. La carga que llevas te hundirá en la perdición, a donde perteneces, o a mi nombre no es Jonathan'. Sostiene su mano protectoramente sobre una urna de vidrio, que se encuentra en un pedestal frente a él. En el centro está Gorham, cuyos hombros sostienen, uno encima del otro, a un hombre negro, un hombre chino y un guerrero indio.",1864 - 1902,Norteamérica,Estados Unidos,California,1NbscdmQhON9aZFqQV0Rn1WcjeVVCa375,colonialista,https://www.loc.gov/pictures/resource/ds.14037/,Estados Unidos,elegante,posando,razas,1,espectador,espectador,adelante,masculino,figura,caricatura,prensa,true,45.png
49,The White Man's Burden (Apologies to Rudyard Kipling) Public Deposited,Frederick Victor Gillam,1899,Grabado,Cromolitografía,papel,33.7,51.7,"Judge, vol.36, no.911, 1899",,1864 - 1902,Norteamérica,Estados Unidos,Nueva York,12ej70cDl_CzROJSQHkc9mLEuy50_9eyW,colonialista,https://library.osu.edu/dc/concern/generic_works/g732tk384#?c=0&m=0&s=0&cv=0&xywh=-289%2C1804%2C809%2C282,Estados Unidos,elegante,ascendiendo,razas,2,frente,varias,varias,masculino,figura,caricatura,prensa,true,84.jpg
50,Glances at the Modes of Traveling in Foreign Lands,The Saturday Magazine,1839,Grabado,Grabado en madera,papel,NI,NI,"Glances at the Modes of Traveling in Foreign Lands, The Saturday Magazine 449 (1839): 250-256","En Inglaterra, en 1839, apareció una alusión a la metáfora que comparaba al carguero con un animal de carga -en referencia a la anécdota de Humboldt- en un artículo de The Saturday Magazine donde se discutía sobre los tipos de carruajes usados en diversos lugares del mundo y la fuerza motriz que los movía. Allí, el horizonte de expectativa se proyecta hacia un escenario en el que estas fuerzas podrán ser de otra naturaleza y reemplazar las de los animales y los hombres. El Saturday Magazine era la revista que competía con The Penny Magazine. Estas revistas fueron pioneras en el uso de un modelo de impresión que El modelo consistía en un formato de publicación, unas aplicaciones tecnológicas del uso de la xilografía y el prototipado, un proceso de racionalización de la producción de impresos, un modelo de negocio y un ideal acerca de la correlación que hay entre la expansión del mercado de lectores y la posibilidad de llevar el acceso al conocimiento 'útil' hasta las clases populares. Ver 'The Commercial History of a Penny Magazine', The Penny Magazine 1 (1833): 377 (suplemento). ",1819 - 1850,Global,Global,Global,1gTpRgFNBAYwHYR7tX7VPz7zE4KICN33c,carro,https://archive.org/details/sim_saturday-magazine_1839-06_14_449/page/n3/mode/2up,Inglaterra,NA,NA,NA,NA,NA,NA,NA,NA,figura,tipos humanos,prensa,true,86.png
51,[Hamal] ou portefaix,Anónimo,1799,Pintura,Acuarela,papel,NI,NI,"Recueil. Dessins originaux de costumes turcs : un recueil de dessins aquarelles. Paris, Bibliothèque nationale de France, Estampes et photographie, 4-OD-23",,1750 - 1810,Eurasia,Turquía,Turquía,1C3SBPrhfEFqgJ1_x0qrbd4jVpUKXoZqz,NA,https://gallica.bnf.fr/ark:/12148/btv1b8455918s/f72.item,Francia,turbante,caminando,objetos,1,NA,NA,NA,NA,figura,tipos humanos,lamina,true,46.png
52,F. 17. Chaise à Porteur ordinaire pour ceux qui n' ont acun rang. Rues de Pékin,Henri Léonard Jean-Baptiste Bertin,1780,Pintura,Acuarela,papel,NI,NI,"Rues de Pékin. Bibliothèque nationale de France, département Estampes et photographie, RESERVE OE-55-4",,1750 - 1810,Lejano oriente,China,Pekin,168yk9q8vm-zgL5EA5wk-p8tuX-cUyFH7,carro,https://gallica.bnf.fr/ark:/12148/btv1b8452126n/f49.item,Francia,carro,caminando,carruaje,2,frente,NA,NA,NA,figura,tipos humanos,lamina,true,47.png
53,El ciego y el paralitico,Johann Theodor de Bry,1596,Grabado,Grabado,papel,NI,NI,"Emblemata secularia mira et jucunda ... Weltliche, lustige newe Kunststück der jetzigen Weltlauff fürbildende (Fráncfort, 1596)",,1500 - 1750,Europa central,Alemania,Fráncfort,1-MVQokgBk6brrXjvn1so9iWGfa_9bEk5,ciegoParalitico,https://bildsuche.digitale-sammlungen.de/index.html?c=viewer&bandnummer=bsb00024751&pimage=00001&v=2p&nav=&l=es,Alemania,baston,caminando,sombrero,1,frente,frente,adelante,masculino,figura,alegoria,libro,true,48.jpg
54,Ciego e inválido y otros tipos populares,Melchor María Mercado,1858,Grabado,Grabado,papel,NI,NI,"MENDOZA L., Gunnar.“Vocación de arte y drama histórico nacional en Bolivia: el pintor MclchorMaría Mercado (1816-1871): un precursor“, estudio introductorio a Mercado (1991), pp. 13-72.",,1851 - 1863,Montañas andinas,Bolivia,Bolivia,1_iOd11mLKdbcqUerM0No4pz3kS_vdlxS,ciegoParalitico,https://pueblosoriginarios.com/recursos/colecciones/bolivia/mercado.html,Bolivia,baston,caminando,sombrero,1,NA,frente,adelante,masculino,figura,alegoria,lamina,true,87.jpg
55,Le Systeme Aveugle et la Diplomatie Paralytique,Honoré Daumier,1834,Grabado,Grabado,papel,NI,NI,"Le Charivari, 202, 1834","Honoré Daumier utilizó la fábula de Florian con fines de sátira política en una caricatura, ""Sistema ciego y diplomacia paralítica"", publicada en Le Charivari en 1834. Muestra al rey Luis Felipe tambaleándose bajo el peso de Talleyrand. Tal tratamiento contribuyó al surgimiento de la expresión en francés: ""L'union de l'oublie et le paralytic"" (""la unión del ciego y el cojo""), que se usó irónicamente en referencia a cualquier asociación poco prometedora.",1819 - 1850,Europa central,Francia,Paris,1mihm8tHSjw0peNCsbrYSbeG-P5wHoTSM,ciegoParalitico,https://gallica.bnf.fr/ark:/12148/bpt6k3057872c/f3.item,Francia,gordo,caminando,muletas,1,frente,frente,adelante,masculino,figura,caricatura,prensa,true,97.jpg
56,L'Aveugle et le Paralytique,Döes,1899,Grabado,Cromolitografía,papel,22,30,"Le Rire : journal humoristique, 255, 1899","Un sujeto cargando a otro representando la fábula del ciego y el paralítico mientras persiguen a una mujer. en la leyenda se lee: Yo caminaré por ti, tu verás por mi. ",1864 - 1902,Europa central,Francia,Paris,1mBja1F5xLBGcgxw04xKicCqNZ1zUSH7a,ciegoParalitico,https://gallica.bnf.fr/ark:/12148/bpt6k11731315/f1.item#,Francia,baston,caminando,sombrero,1,frente,frente,adelante,masculino,figura,caricatura,prensa,true,98.jpg
57,The burden of the Latin races,Louis  Dalrymple,1899,Grabado,Cromolitografía,papel,NI,NI,"Puck, 44, 1143, 1899","La impresión muestra a un hombre con la etiqueta ""Razas latinas"" que lleva a un clérigo sobre sus hombros.",1864 - 1902,Norteamérica,Estados Unidos,Nueva York,1maabnLVNxCAiQpZ3jdNObJRwFjryNQU3,ciegoParalitico,https://www.loc.gov/pictures/item/2012647460/,Estados Unidos,latino,caminando,clerigo,1,frente,frente,adelante,masculino,figura,caricatura,prensa,true,99.jpg
58,L'Aveugle et le Paralytique,Marinus Jacob KJELDGAARD dit MARINUS,1940,Fotografía,Fotomontaje,papel,23.7,17.7,"Marianne, 384, 1940.","Una práctica fotográfica iniciada por los dadaístas, el fotomontaje fue muy popular en la década de 1930. En un contexto político turbulento, la crítica humorística, incluso sarcástica, de belicistas de todo tipo encontró en esta aplicación particular de la fotografía una herramienta formidable. Marinus Jacob Kjelgaard (1184-1964) trabaja para el semanario Marianne fundado en 1932 por Gaston Gallimard. Janine Bouissounouse, periodista especializada en cine de vanguardia, es la responsable de la ilustración, André Malraux el asesor editorial y Emmanuel Berl el redactor jefe. Este último quería un periódico ilustrado con fotografías ""divertidas"" de políticos.",1903 - 1953,Europa central,Francia,Paris,1msTBJlxvm1D0l90j_VhP-DRzWun-X3FZ,ciegoParalitico,https://gallica.bnf.fr/ark:/12148/bpt6k7644875p/f1.image#,Francia,,caminando,,1,frente,frente,adelante,masculino,figura,caricatura,prensa,true,101.jpg
59,Joseph Brown en traje de montar,José María Groot,1835,Pintura,Acuarela,cartón,24.7,17.2,"Biblioteca del University College, Londres. MS ADD 302/6/2",,1819 - 1850,Montañas andinas,Colombia,Bogotá,1-dRkiScLanW03_t3XdUSIFNdZxcjdzQ6,cochrane,https://worldcat.org/es/title/22382447,Colombia,animal de carga,posando,sombrero,1,espectador,espectador,NA,NA,figura,retrato,lamina,true,49.png
60,The Author in the Travelling Costume of the Country,Charles Stuart Cochrane,1825,Grabado,Grabado,papel,16.8,11,"Charles Stuart Cochrane, Journal of a Residence and Travels in Colombia, During the Years 1823 and 1824 (In Two volumes), (Londres: Henry Colburn, 1825)",,1819 - 1850,Montañas andinas,Colombia,Bogotá,1tX4lkO05URAo3TmOp8xn6MDaOsF4A8vC,cochrane,https://archive.org/details/journalofresiden11825coch/page/n11/mode/2up,Inglaterra,animal de carga,posando,sombrero,1,espectador,espectador,NA,NA,figura,retrato,libro,true,50.png
61,Le Docteur Saffray,"Charles Saffray, A. de Neuville (Dibj.)",1873,Grabado,Grabado,papel,NI,NI,"Charles Saffray, Voyage à la Nouvelle Grenade. Le Tour de monde, 26, 1973",,1864 - 1902,Montañas andinas,Colombia,Bogotá,1IITjRx_A1zzfYYq3YlWu6tVC2letCrXN,cochrane,https://gallica.bnf.fr/ark:/12148/bpt6k104971v/f108.item,Francia,animal de carga,posando,sombrero,1,espectador,espectador,NA,NA,figura,retrato,prensa,true,51.png
62,Carguero en la montaña de Sonsón,Ramón Torres Méndez,1910,Grabado,Grabado,papel,NI,NI,"Álbum de costumbres colombianas. Según dibujos del Señor Ramón Torres, Publicado por la Junta Nacional del Primer Centenario de la Proclamación de la Independencia de la República de Colombia. Edición Ed. Victor Sperling, Leipzig, 1910","Lámina impresa en la edición de 1910 hecha para conmemorar el centenario del grito de la independencia. Este ejemplar se puso en la urna centenaria que fue abierta en el 2010 por Samuel Moreno Rojas y Álvaro Uribe Vélez alcalde de Bogotá y presidente de Colombia, respectivamente.",1903 - 1953,Montañas andinas,Colombia,Antioquia,1OitkrA_IWGmCXjyZvmlMy8dS0WJVMZOi,torres,https://biblioteca.academiahistoria.org.co/pmb/opac_css/index.php?lvl=author_see&id=4662,Colombia,baston,descendiendo,sombrero,1,abajo,frente,atras,femenino,figura,tipos humanos,lamina,false,52.png
63,Carguero en la montaña de Sonsón,Ramón Torres Méndez,1934,Grabado,Grabado,papel,NI,NI,"Manuel María Mallarino. La muerte a cada paso. Senderos. Organo de la Biblioteca Nacional de Colombia, 1934","El grabado de Ramón Tores Méndez sirve como ilustración de un relato de Manuel María Mallarino acerca de su experiencia atravesando en camino del Quindío. El artículo está en la sección páginas olvidadas de la revista Senderos, el órgano oficial de la Biblioteca Nacional a cargo de Daniel Samper Ortega",1903 - 1953,Montañas andinas,Colombia,Quindío,1bEmqJ-prT2Uf-m2QBuBThNMU_2CO9f-B,torres,https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/137993,Colombia,baston,descendiendo,sombrero,1,abajo,frente,atras,femenino,figura,tipos humanos,prensa,false,53.png
64,Chircales,"Marta Rodríguez, Jorge Silva",1972,Película,"Documental, cortometraje",film,NA,NA,Proimágenes,,1954 - 1990,Montañas andinas,Colombia,Bogotá,1eTvLWdmxs-eTgz0xnEFVbSFO-ZlszoTv,NA,https://www.proimagenescolombia.com/secciones/cine_colombiano/peliculas_colombianas/pelicula_plantilla.php?id_pelicula=1566,Colombia,niño,ascendiendo,objetos,1,abajo,NA,NA,NA,figura,arte,pelicula,false,54.png
65,Adelante,Grosso,1984,Impreso,Impreso,papel,NI,Ni,"El Tiempo, Bogotá, marzo de 1984",,1954 - 1990,Montañas andinas,Colombia,Bogotá,1YCUouNnmrjvr-a-YNEWx0Z5TYzdA8r3h,NA,NA,Colombia,elegante,caminando,esmoquin,1,frente,frente,atras,masculino,figura,caricatura,prensa,false,55.png
66,Camino a Nóvita en la montaña de Tamaná. Enciclopedia Salvat,Anónimo (erróneamente atribuido a Manuel María Paz),1977,Impreso,Impreso,papel,NI,NI,"Enciclopedia de arte colombiano Salvat, volumen VII, Colombia pintoresca.","Se pone en el contexto de un discurso sobre el 'arte nacional'. 'Esta lámina, por cierto graciosa y realista, ha sido reproducida repetidas veces como ejemplo que encarna lo testimonial y de ingenua concepción, características no sólo de Paz, sino también de otros artistas de la Comisión corográfica'. En la introducción de la obra se evidencia un modo teleológico de tramar la historia: 'esos hombres consiguieron dejarnos esa deliciosa visión de una Colombia pintoresca, viva, llena a veces de grandes contrastes fecundos, de horizontes prometedores, de hombres y de mujeres que ya tenían conciencia de que estaban empezando, solos, una larga y venturosa andadura'",1954 - 1990,Montañas andinas,Colombia,Chocó,1bqgFSXTRiR3n8ezjLd0GtsDg9eokJ_sJ,corografica,NA,Colombia,baston,cruzando,libro,2,abajo,frente,atras,masculino,figura,academico,libro,false,56.png
67,Portada Imperial Eyes,Mary Louis Pratt,1992,Impreso,Portada,cartón,NI,NI,"Mary Louis Pratt, Imperial eyes. TRavel writing and transculturation, (Londres, Nueva York: Routledge, 1992)","Imagen tomada de la lámina “El monte de la Agonía de Edouard André, 1879. Publicada en Le tour de monde. La imagen es de una época posterior a la trabajada por Pratt en su libro. En la edición en español de 2011 está lámita ilsutra el capítulo sobre los viajeros de la primera mitad del siglo XIX como vanguardia del capitalismo y de la extensión imperial",1954 - 1990,Montañas andinas,Colombia,NA,1Z811o-0GRLFy5LURNgDCvJlopoQnVxn2,andre,https://openlibrary.org/works/OL4095821W/Imperial_eyes,Estados Unidos,baston,ascendiendo,sombrero,1,abajo,frente,atras,masculino,figura,academico,libro,false,57.png
68,s/t. Auguste Le Moyne. El revés de la nación,Margarita Serje de la Osa,2011,Impreso,Lámina de libro,papel,NI,NI,"El revés de la nación. Territorios salvajes, fronteras y tierras de nadie (Bogotá: Universidad de los Andes, 2011)","Tomada de la lámina de Le Moyne, 1828. El carguero es usado como una figura, semejante a la de los colono de la frontera fluida que los discursos que justifican la intervención estatal suelen representar como 'baldía'.",1991 - 2020,Montañas andinas,Colombia,Quindío,1s5bBfzepAheZ_b-zqf5T0gKTUFi1nrvI,le moyne,https://appsciso.uniandes.edu.co/sip/data/pdf/El%20Reves%20de%20la%20Nacion%20final.pdf,Colombia,baston,caminando,silla de lujo,1,abajo,frente,atras,masculino,figura,academico,libro,false,58.png
69,Portada del libro “Por los llanos del Piedemonte,"Carl Henrik LangebaekSantiago Giraldo, Alejandro Bernal, Silvia Monroy, Andrés Barragán",2000,Impreso,Portada,cartón,NI,NI,Por los caminos del Piedemonte. Una historia de las comunicaciones entre los Andes Orientales y los Llanos. Siglos XVI a XIX,"Usan la imagen de carguero atribuida a Manuel María Paz de 1853. Es una imagen del viaje de la Comisión corográfica al Chocó para un libro que se refiere a los andes orientales y los llanos, (Bogotá: Universidad de los Andes, 2000)",1991 - 2020,Montañas andinas,Colombia,Pie de monte llanero,1MzlKn2Z-FKaTYWhhhnpZ-7fETjA9nKUo,corografica,https://cienciassociales.uniandes.edu.co/antropologia/publicaciones/por-los-caminos-del-piedemonte-una-historia-de-las-comunicaciones-entre-los-andes-orientales-y-los-llanos-siglos-xvi-a-xix/,Colombia,baston,cruzando,libro,2,abajo,frente,atras,masculino,figura,academico,libro,false,59.png
70,Afiche Maestría en Historia Universidad Tecnológica de Pereira,Universidad Tecnológica de Pereira,2018,Cartel digital,Afiche publicitario,Afiche publicitario,NI,NI,Página Web Universidad Tecnológica de Pereira,"Afiche de publicidad de la Maestría en Historia de la Universidad Tecnológica de Pereira. Usan la imagen del carguero de Saffray que a su vez está basada en un carguero hecho por Ramón Torres Méndez. La imagen es una muestra del uso del carguero como símbolo de identidad regional en la zona del eje cafetero, y también del uso de la imagen del carguero por parte de los historiadores.",1991 - 2020,Montañas andinas,Colombia,Quindío,1E3km2Ud1Nbxl6wB7R0OgRNAbXUcO9PIY,torres,https://comunicaciones.utp.edu.co/noticias/37593/inscripciones-abiertas-maestria-en-historia,Colombia,baston,posando,,1,espectador,NA,NA,NA,figura,publicidad,cartel,false,60.png
71,"Logo de la Maestría en Historia, Universidad Tecnológica de Pereira",Universidad Tecnológica de Pereira,2019,Cartel digital,Logo,digital,NI,NI,Página Web Universidad Tecnológica de Pereira,"Logo de la Maestría en Historia de la Universidad Tecnológica de Pereira. Usan la imagen del carguero de Edward Andre ""Monte de la agonía"", una de las más usadas como modelo para hacer adaptaciones. Es importante resaltar que en este caso el carguero esta cargando la H mayúscula que representa la Historia. La imagen es una muestra del uso del carguero como símbolo de identidad regional en la zona del eje cafetero, y también del uso de la imagen del carguero por parte de los historiadores. El agónico peso de la historia que los historiadores consideran que cargan en sus espalda. Reducir la Historia a una Ha mayúscula es muestra de su transformación en un singular colectivo.",1991 - 2020,Montañas andinas,Colombia,Quindío,1yuk5BzJ_YUDVxGHuK32CbMdeGYWb_o1p,andre,https://comunicaciones.utp.edu.co/noticias/51243/leccion-inaugural-maestria-en-historia-con-la-comision-de-la-verdad,Colombia,baston,ascendiendo,abstracto,1,abajo,NA,NA,NA,figura,logo,cartel,false,61.png
72,"Cartel convocatoria Revista H-art. Dossier: Colombia, siglo XIX: viajes, intercambios y otras formas de circulación.","Revista H-art, Universidad de los Andes",2019,Cartel digital,Afiche publicitario,Afiche publicitario,NI,NI,Página web Revista H-art Universidad de los Andes,"Cartel convocatoria Revista H-art. Dossier: Colombia, siglo XIX: viajes, intercambios y otras formas de circulación. Usa el modelo de una imagen de carguero hecha por Ramón Torres Méndez. Es una muestra del uso del carguero como símbolo de la historia decimonónica. En este caso se usa una convocatoria de un dossier con ese tema. ",1991 - 2020,Montañas andinas,Colombia,Bogotá,14dTXMTc0J2zo4yLF3_R8cVVK9k3Lyp7o,torres,https://facartes.uniandes.edu.co/convocatorias/convocatoria-dossier-colombia-siglo-xix-viajes-intercambios-y-otras-formas-de-circulacion/,Colombia,baston,caminando,sombrero,3,abajo,frente,atras,femenino,figura,publicidad,cartel,false,62.png
73,"Cartel del I Simposio internacional Colombia, siglo XIX: viajes, intercambios y otras formas de circulación",Universidad de los Andes,2019,Cartel digital,Afiche publicitario,Afiche publicitario,NI,NI,Facultad de Artes y Humanidades. Facultad de Ciencias Sociales. Universidad de los Andes,"Cartel del I Simposio internacional Colombia, siglo XIX: viajes, intercambios y otras formas de circulación. Es una muestra del uso del carguero como símbolo de la historia decimonónica.",1991 - 2020,Montañas andinas,Colombia,Bogotá,1BySmFyIBZcKDYcfnUCNeGdtzOf2e9djI,NA,https://facartes.uniandes.edu.co/calendario/simposio-colombia-xix/,Colombia,baston,ascendiendo,libro,1,abajo,frente,atras,masculino,figura,publicidad,cartel,false,63.png
74,Cartel del XIX Congreso colombiano de Historia,Academia de Historia del Quindío,2019,Cartel digital,Afiche publicitario,Afiche publicitario,NI,NI,Página Web XIX Congreso colombiano de Historia,Cartel del XIX Congreso colombiano de Historia. Usa el modelo de una imagen de carguero hecha por Ramón Torres Méndez. Es una muestra del uso del carguero como símbolo de la historia decimonónica.,1991 - 2020,Montañas andinas,Colombia,Quindío,1EB_cyi7f_aWxtHg8hCDj-tQcY3QPMWZz,torres,https://asocolhistoria.org/xix-congreso-colombiano-de-historia/,Colombia,baston,descendiendo,sombrero,1,abajo,frente,atras,masculino,figura,publicidad,cartel,false,64.png
75,Hombres bestia,Carlos Albero Osorio Monsalve. Osorión,2013,Pintura,Dibujo,papel,NI,NI,Blog Osorión. Carlos Osorio,"La imagen se encuentra en blog Osorion acompañada del siguiente texto: “Hoy, recordamos y homenajeamos a estos “Hombres bestias” quienes fueron héroes y protagonistas de el progreso. Ellos, desafiando las montañas, las inclemencias y las afecciones hicieron grande a Antioquia y dieron reconocimiento a El Peñol como el pueblo que persistente en las adversidades, gracias a sus hombres fuertes, aguerridos y emprendedores”.",1991 - 2020,Montañas andinas,Colombia,Antioquia,1ox32KLQvU9VeMaQ4hxPFGqpks-3-jMYX,NA,http://laobradeosorio.blogspot.com/2014_03_01_archive.html,Colombia,baston,ascendiendo,sombrero,1,abajo,abajo,atras,masculino,figura,arte,lamina,false,65.png
76,El silletero,Pascal Tissot,2005,Escultura,Escultura de bulto,cobre,100,190,Página Web del artista,"Obra realizada por un artista autodidacta francés que ha vivido prácticamente toda su vida en Colombia. La escultura usa el modelo de la imagen ""monte de la agonía"" de Edward André. ",1991 - 2020,Montañas andinas,Colombia,Quindío,1OWlTSDPWpYsp5PSwH353NlqjwD5Btam-,andre,https://www.artelista.com/obra/9478059898112354-elsilletero.html,Colombia,baston,ascendiendo,libro,1,abajo,frente,atras,masculino,figura,arte,escultura,false,66.png
77,Imágenes del desfile de inauguración del festival iberoamericano de teatro,Comparsa del Quindío,2012,Teatro,Teatro callejero,cuerpo,NA,NA,Festival Iberoamericano de Teatro,"Los cargueros del Quindío (XIII FITB 2012) por Carolina Castro Parra, Desfile Inaugural del XIII Festival Iberoamericano de Teatro de Bogotá. comparsa del Departamento del Quindío. En la simágenes del desfile se puede ver cómo utilizan las imágenes del siglo XIX para recrear los personajes dándoles los atributos típicos como la sombrilla, el sombrero, y los trajes que visten tanto el carguero como el cargado. En el caso de las imágenes que se ven se puede percibir la influencia del carguero del Monte de la Agonía de Edward André. ",1991 - 2020,Montañas andinas,Colombia,Quindío,1tqaZnBIjrMUknBVzf0No9APXPaJNSV83,andre,https://www.youtube.com/watch?v=sviQwhzdaaY,Colombia,baston,caminando,,2,abajo,NA,atras,masculino,figura,arte,performance,false,67.png
78,Zócalo Guatape,Anónimo,2014,Pintura,Mural,muro,NI,NI,Fotografía tomada por Juan Felipe Urueña,"Zócalos que se encuentran en el municipio de Guatapé en Antioquia. Este es un pueblo turístico que se caracteriza por estar construido sobre un embalse. Se lo conoce oficialmente como ""El pueblo de los Zócalos"", según una denominación de marca otorgada por el Ministerio del cultura. En una tesis de Maestría en Historia de la universidad Nacional sede Medellín Luz Mery Ayala muestra el uso que se ha dado a los Zócalos para construir didácticamente memoria colectiva acerca de los sucesos histórico del departamento y el municipio. Guatapé era una de las estaciones que hacían los cargueros en el camino de Juntas que iba desde Puerto Nare a Medellín: ""En los zócalos del municipio no podía faltar este pasaje de historia por contar, en los que se resalta el tipo de transporte que se hacía desde Juntas hasta La Ceja de Guatapé"" (Ayala, 2017, p. 45-46). Esta imagen se ve un carguero enteramente vestido que lleva a una persona con sobre peso. al fondo se ve la Piedra del Peñón. El peso del cargado probablemente aluda a otro de los relatos que se encuentra en los libros de los viajeros acerca de un habitante de Antioquia con sobrepeso que tenía que tener sus propios cargueros. ",1954 - 1990,Montañas andinas,Colombia,Antioquia,1sGobClUtmt_-LhJkTWSinuvnTnFFht-P,NA,https://repositorio.unal.edu.co/handle/unal/59843,Colombia,vestido,caminando,sombrero,1,frente,arriba,atras,masculino,figura,artesania,mural,false,68.png
79,Zócalo Guatape,Anónimo,2014,Pintura,Mural,muro,NI,NI,Fotografía tomada por Juan Felipe Urueña,"Zócalos que se encuentran en el municipio de Guatapé en Antioquia. Este es un pueblo turístico que se caracteriza por estar construido sobre un embalse. Se lo conoce oficialmente como ""El pueblo de los Zócalos"", según una denominación de marca otorgada por el Ministerio del cultura. En una tesis de Maestría en Historia de la universidad Nacional sede Medellín Luz Mery Ayala muestra el uso que se ha dado a los Zócalos para construir didácticamente memoria colectiva acerca de los sucesos histórico del departamento y el municipio. Guatapé era una de las estaciones que hacían los cargueros en el camino de Juntas que iba desde Puerto Nare a Medellín: ""En los zócalos del municipio no podía faltar este pasaje de historia por contar, en los que se resalta el tipo de transporte que se hacía desde Juntas hasta La Ceja de Guatapé"" (Ayala, 2017, p. 45-46). Estos zócalos en particular se encuentran en el Museo del municipio. Establecen una genealogía entre los cargueros y los silleteros de la feria de las flores de Santa Helena. El modelo para realizar el carguero es nuevamente el de del Monte de la Agonía de Edward André.",1954 - 1990,Montañas andinas,Colombia,Antioquia,1BMG_Z673T_fhEzAFo3bLbSlsp117UkVE,andre,https://repositorio.unal.edu.co/handle/unal/59843,Colombia,baston,ascendiendo,sombrero,1,abajo,frente,atras,masculino,figura,artesania,mural,false,69.png
80,Por los caminos del Quindío (Detalle),Henry Villada,2017,Pintura,Mural,muro,NI,NI,Fotografía tomada por Juan Felipe Urueña,"El carguero está incluido en una secuencia narrativa que muestra una evolución progresiva que va desde los cargueros en un contexto agreste, pasando por los arrieros con sus mulas, llegando al Jeep Willis en un contexto colonizado que se ilustra con las típicas casas de las fincas cafeteras. El mural ha tomado como modelo de algunas de sus escenas, láminas de viajeros del siglo XIX. Una reproducida en el libro de John Porter Hamilton, y otra elaborada por Roulin que se refiere originalmente al camino Honda-Guaduas.",1991 - 2020,Montañas andinas,Colombia,Antioquia,1Xiw7cE-K_CoKfQQ4_10DfrRVIKJGL3AT,NA,https://www.elquindiano.com/noticia/2547/avanza-el-mural-por-los-caminos-del-quindio,Colombia,baston,caminando,sombrero,1,abajo,frente,atras,masculino,figura,arte,mural,false,70.png
81,Silla,Anónimo,2018,Escultura,Escultura de bulto,madera,NA,NA,Fotografía tomada del blog de la Academia de Historia del Quindío," Armazón de guadua (latas de guadua), cuyas medidas eran: de unos tres pies (91cms), largo, y de ancho, un pie (31.5 cms), ensambladas y amarradas entre sí con bejucos, provista de espaldar con una inclinación de 60°, con el fin de que el transportado pudiera juntar su espalda con la espalda del sillero.  En la parte baja de la silla se amarra una tabla, en ángulo recto, que tiene las mismas dimensiones del ancho. Vista así, toda la estructura semeja una silla sin patas.Dos fuertes pretinas a manera de arnés, situadas en los extremos de ambos bastidores de la silla, mantenían todo en ángulo recto, sirviendo al propio tiempo de brazos a los que el viajero podía asirse. Un pedazo de bambú de un pie de largo, colgaba en su parte inferior y le servía como estribo, si es que el acarreado podía considerarse como un jinete de caballería.",1991 - 2020,Montañas andinas,Colombia,Quindío,1zTjioQ793JKvkzWQt_w2Pe56KhpBbAiB,torres,http://academiadehistoriadelquindio.blogspot.com/2018/04/silleteros-y-cargueros-microhistorias.html,Colombia,NA,posando,NA,1,NA,NA,NA,NA,figura,artesania,escultura,false,71.png
